ID,TAXANR,PRNAVN,PRNAVN1,GNAVN,NAVN,AUTNR,AUTHOR,AUTSTAT,TAXATYPE,SYNONYMNR,GNR,GYLDIG,PREVTAXA
9469,9469,Primula stricta var. obesior,Primula stricta var. obesior,Primula stricta ssp. obesior,obesior,4673,J.Norman,,V,17666,17666,FALSE,1512
17666,17666,Primula stricta ssp. obesior,Primula stricta ssp. obesior,Primula stricta ssp. obesior,obesior,6136,(J.Norman),,S,17666,17666,TRUE,1512
17667,17667,Primula stricta ssp. stricta,Primula stricta ssp. stricta,Primula stricta ssp. stricta,stricta,0,,,S,0,17667,TRUE,1512
14148,14119,Primula tschuktschorum,Primula tschuktschorum,Primula tschuktschorum,tschuktschorum,4286,Kjellm.,,A,0,14119,TRUE,1506
14149,14120,Primula beringensis,Primula beringensis,Primula tschuktschorum,beringensis,4010,(A.E.Porsild) Jurtz.,,A,14119,14119,FALSE,1506
1508,1508,Primula veris,Primula veris,Primula veris,veris,1,L.,,A,0,1508,TRUE,1506
3494,3494,Primula officinalis,Primula officinalis,Primula veris,officinalis,84,(L.) Hill,,A,1508,1508,FALSE,1506
1507,1507,Primula vulgaris,Primula vulgaris,Primula vulgaris,vulgaris,11,Huds.,,A,0,1507,TRUE,1506
3493,3493,Primula acaulis,Primula acaulis,Primula vulgaris,acaulis,84,(L.) Hill,,A,1507,1507,FALSE,1506
1505,1505,Primulaceae,Primulaceae,Primulaceae,Primulaceae,0,,,F,0,1505,TRUE,0
10881,10825,Provenzalia,Provenzalia,Provenzalia,Provenzalia,56,Raf.,,G,0,10825,TRUE,2276
1700,1700,Prunella,Prunella,Prunella,Prunella,1,L.,,G,0,1700,TRUE,1673
1702,1702,Prunella grandiflora,Prunella grandiflora,Prunella grandiflora,grandiflora,2397,(L.) Scholl.,,A,0,1702,TRUE,1700
9780,9780,Prunella laciniata,Prunella laciniata,Prunella laciniata,laciniata,50,(L.) L.,,A,0,9780,TRUE,1700
14320,14291,Prunella pensylvanica,Prunella pensylvanica,Prunella pensylvanica,pensylvanica,4,Willd.,,A,0,14291,TRUE,1700
1701,1701,Prunella vulgaris,Prunella vulgaris,Prunella vulgaris,vulgaris,1,L.,,A,0,1701,TRUE,1700
8103,8065,Brunella vulgaris,Brunella vulgaris,Prunella vulgaris,vulgaris,1,L.,,A,1701,1701,FALSE,8064
14319,14290,Prunella vulgaris ssp. lanceolata,Prunella vulgaris ssp. lanceolata,Prunella vulgaris ssp. lanceolata,lanceolata,4732,(Barton) Hultén,,S,0,14290,TRUE,1701
14321,14292,Prunella pensylvanica var. lanceolata,Prunella pensylvanica var. lanceolata,Prunella vulgaris ssp. lanceolata,lanceolata,4733,Barton,,V,14290,14290,FALSE,14291
14318,14289,Prunella vulgaris ssp. vulgaris,Prunella vulgaris ssp. vulgaris,Prunella vulgaris ssp. vulgaris,vulgaris,0,,,S,0,14289,TRUE,1701
836,823,Prunus,Prunus,Prunus,Prunus,1,L.,,G,0,823,TRUE,822
838,825,Prunus avium,Prunus avium,Prunus avium,avium,50,(L.) L.,,A,0,825,TRUE,823
5414,5322,Cerasus avium,Cerasus avium,Prunus avium,avium,57,(L.) Moench,,A,825,825,FALSE,5321
8715,8715,Prunus cerasifera,Prunus cerasifera,Prunus cerasifera,cerasifera,16,Ehrh.,,A,0,8715,TRUE,823
839,826,Prunus cerasus,Prunus cerasus,Prunus cerasus,cerasus,1,L.,,A,0,826,TRUE,823
7055,6962,Cerasus vulgaris,Cerasus vulgaris,Prunus cerasus,vulgaris,3,Mill.,,A,826,826,FALSE,5321
842,829,Prunus domestica,Prunus domestica,Prunus domestica,domestica,1,L.,,A,0,829,TRUE,823
5415,5323,Prunus domestica ssp. domestica,Prunus domestica ssp. domestica,Prunus domestica ssp. domestica,domestica,0,,,S,0,5323,TRUE,829
841,828,Prunus insititia,Prunus insititia,Prunus domestica ssp. insititia,insititia,1,L.,,A,3396,3396,FALSE,823
3396,3396,Prunus domestica ssp. insititia,Prunus domestica ssp. insititia,Prunus domestica ssp. insititia,insititia,757,(L.) Bonnier & Layens,,S,0,3396,TRUE,829
843,830,Prunus mahaleb,Prunus mahaleb,Prunus mahaleb,mahaleb,1,L.,,A,0,830,TRUE,823
7056,6963,Cerasus mahaleb,Cerasus mahaleb,Prunus mahaleb,mahaleb,42,(L.) Mill.,,A,830,830,FALSE,5321
837,824,Prunus padus,Prunus padus,Prunus padus,padus,1,L.,,A,0,824,TRUE,823
5416,5324,Cerasus padus,Cerasus padus,Prunus padus,padus,419,(L.) Delarbre,,A,824,824,FALSE,5321
5418,5326,Padus racemosa,Padus racemosa,Prunus padus,racemosa,729,(Lam.) Gilib.,,A,824,824,FALSE,5325
7054,6961,Padus avium,Padus avium,Prunus padus,avium,3,Mill.,,A,824,824,FALSE,5325
3950,3937,Prunus padus ssp. borealis,Prunus padus ssp. borealis,Prunus padus ssp. borealis,borealis,4482,(Schübeler) Nyman,,S,0,3937,TRUE,824
5419,5327,Prunus padus var. borealis,Prunus padus var. borealis,Prunus padus ssp. borealis,borealis,4483,(Schübeler) Neum. & Ahlfv.,,V,3937,3937,FALSE,824
5420,5328,Cerasus schuebleri,Cerasus schuebleri,Prunus padus ssp. borealis,schuebleri,193,N.I.Orlova,,A,3937,3937,FALSE,5321
